url,source,title,authors,date_published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1105.3821,A 06-2022 csv,Ontological Crises in Artificial Agents' Value Systems,"de Blanc, Peter",2011-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1106.2657,A 06-2022 csv,I Don't Want to Think About it Now: Decision Theory With Costly Computation,"Halpern, Joseph Y.; Pass, Rafael",2011-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1202.6177,A 06-2022 csv,Can Intelligence Explode?,"Hutter, Marcus",2012-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1206.5264,A 06-2022 csv,Apprenticeship Learning using Inverse Reinforcement Learning and Gradient Methods,"Neu, Gergely; Szepesvari, Csaba",2012-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1207.0580,A 06-2022 csv,Improving neural networks by preventing co-adaptation of feature detectors,"Hinton, Geoffrey E.; Srivastava, Nitish; Krizhevsky, Alex; Sutskever, Ilya; Salakhutdinov, Ruslan R.",2012-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1308.3778,A 06-2022 csv,Game Theory with Translucent Players,"Halpern, Joseph Y.; Pass, Rafael",2013-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1310.4546,A 06-2022 csv,Distributed Representations of Words and Phrases and their Compositionality,"Mikolov, Tomas; Sutskever, Ilya; Chen, Kai; Corrado, Greg; Dean, Jeffrey",2013-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1311.2901,A 06-2022 csv,Visualizing and Understanding Convolutional Networks,"Zeiler, Matthew D.; Fergus, Rob",2013-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1312.5602,A 06-2022 csv,Playing Atari with Deep Reinforcement Learning,"Mnih, Volodymyr; Kavukcuoglu, Koray; Silver, David; Graves, Alex; Antonoglou, Ioannis; Wierstra, Daan; Riedmiller, Martin",2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1312.6114,A 06-2022 csv,Auto-Encoding Variational Bayes,"Kingma, Diederik P.; Welling, Max",2014-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1406.2661,A 06-2022 csv,Generative Adversarial Networks,"Goodfellow, Ian J.; Pouget-Abadie, Jean; Mirza, Mehdi; Xu, Bing; Warde-Farley, David; Ozair, Sherjil; Courville, Aaron; Bengio, Yoshua",2014-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1409.0473,A 06-2022 csv,Neural Machine Translation by Jointly Learning to Align and Translate,"Bahdanau, Dzmitry; Cho, Kyunghyun; Bengio, Yoshua",2016-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1409.0813,A 06-2022 csv,Friendly Artificial Intelligence: the Physics Challenge,"Tegmark, Max",2014-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1409.1556,A 06-2022 csv,Very Deep Convolutional Networks for Large-Scale Image Recognition,"Simonyan, Karen; Zisserman, Andrew",2015-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1409.3215,A 06-2022 csv,Sequence to Sequence Learning with Neural Networks,"Sutskever, Ilya; Vinyals, Oriol; Le, Quoc V.",2014-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1411.1373,A 06-2022 csv,Ethical Artificial Intelligence,"Hibbard, Bill",2015-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1412.6980,A 06-2022 csv,Adam: A Method for Stochastic Optimization,"Kingma, Diederik P.; Ba, Jimmy",2017-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1503.07619,A 06-2022 csv,Shared Autonomy via Hindsight Optimization,"Javdani, Shervin; Srinivasa, Siddhartha S.; Bagnell, J. Andrew",2015-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1506.07359,A 06-2022 csv,Sequential Extensions of Causal and Evidential Decision Theory,"Everitt, Tom; Leike, Jan; Hutter, Marcus",2015-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1507.01986,A 06-2022 csv,Toward Idealized Decision Theory,"Soares, Nate; Fallenstein, Benja",2015-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://arxiv.org/abs/1510.03370,A 06-2022 csv,Asymptotic Logical Uncertainty and The Benford Test,"Garrabrant, Scott; Bhaskar, Siddharth; Demski, Abram; Garrabrant, Joanna; Koleszarik, George; Lloyd, Evan",2015-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
